"Stadtteil","Jahr","Personen","männlich","weiblich"
"Weststadt","2017",617,329,288
"Weststadt","2018",596,302,294
"Weststadt","2019",564,278,286
"Weststadt","2020",525,257,268
"Weststadt","2021",558,295,263
"Nordweststadt","2007",222,112,110
"Nordweststadt","2008",240,123,117
"Nordweststadt","2009",222,115,107
"Nordweststadt","2010",243,123,120
"Nordweststadt","2011",218,116,102
"Nordweststadt","2012",257,145,112
"Nordweststadt","2013",255,141,114
"Nordweststadt","2014",263,146,117
"Nordweststadt","2015",254,134,120
"Nordweststadt","2016",282,135,147
"Nordweststadt","2017",309,145,164
"Nordweststadt","2018",309,156,153
"Nordweststadt","2019",271,148,123
"Nordweststadt","2020",275,156,119
"Nordweststadt","2021",297,154,143
"Oststadt","2007",423,223,200
"Oststadt","2008",430,225,205
"Oststadt","2009",428,210,218
"Oststadt","2010",461,236,225
"Oststadt","2011",440,221,219
"Oststadt","2012",470,231,239
"Oststadt","2013",502,264,238
"Oststadt","2014",756,376,380
"Oststadt","2015",969,482,487
"Oststadt","2016",568,300,268
"Oststadt","2017",533,291,242
"Oststadt","2018",482,246,236
"Oststadt","2019",487,243,244
"Oststadt","2020",440,225,215
"Oststadt","2021",455,237,218
"Mühlburg","2007",403,197,206
"Mühlburg","2008",400,186,214
"Mühlburg","2009",391,212,179
"Mühlburg","2010",427,216,211
"Mühlburg","2011",433,224,209
"Mühlburg","2012",437,232,205
"Mühlburg","2013",423,221,202
"Mühlburg","2014",453,235,218
"Mühlburg","2015",432,213,219
"Mühlburg","2016",474,239,235
"Mühlburg","2017",500,239,261
"Mühlburg","2018",560,275,285
"Mühlburg","2019",491,248,243
"Mühlburg","2020",447,241,206
"Mühlburg","2021",466,241,225
"Daxlanden","2007",255,120,135
"Daxlanden","2008",248,121,127
"Daxlanden","2009",243,121,122
"Daxlanden","2010",242,138,104
"Daxlanden","2011",234,135,99
"Daxlanden","2012",252,137,115
"Daxlanden","2013",240,122,118
"Daxlanden","2014",216,118,98
"Daxlanden","2015",230,122,108
"Daxlanden","2016",243,127,116
"Daxlanden","2017",268,135,133
"Daxlanden","2018",251,125,126
"Daxlanden","2019",262,135,127
"Daxlanden","2020",254,124,130
"Daxlanden","2021",261,127,134
"Knielingen","2007",215,111,104
"Knielingen","2008",219,110,109
"Knielingen","2009",223,122,101
"Knielingen","2010",224,118,106
"Knielingen","2011",234,116,118
"Knielingen","2012",264,129,135
"Knielingen","2013",285,137,148
"Knielingen","2014",277,130,147
"Knielingen","2015",265,130,135
"Knielingen","2016",289,149,140
"Knielingen","2017",320,154,166
"Knielingen","2018",357,165,192
"Knielingen","2019",366,175,191
"Knielingen","2020",393,202,191
"Knielingen","2021",380,204,176
"Grünwinkel","2007",246,113,133
"Grünwinkel","2008",227,116,111
"Grünwinkel","2009",243,126,117
"Grünwinkel","2010",251,137,114
"Grünwinkel","2011",258,130,128
"Grünwinkel","2012",258,133,125
"Grünwinkel","2013",263,143,120
"Grünwinkel","2014",244,134,110
"Grünwinkel","2015",263,129,134
"Grünwinkel","2016",269,134,135
"Grünwinkel","2017",299,159,140
"Grünwinkel","2018",323,173,150
"Grünwinkel","2019",293,156,137
"Grünwinkel","2020",279,142,137
"Grünwinkel","2021",271,145,126
"Oberreut","2007",281,148,133
"Oberreut","2008",271,140,131
"Oberreut","2009",278,136,142
"Oberreut","2010",269,135,134
"Oberreut","2011",262,133,129
"Oberreut","2012",249,131,118
"Oberreut","2013",246,135,111
"Oberreut","2014",243,132,111
"Oberreut","2015",249,128,121
"Oberreut","2016",251,127,124
"Oberreut","2017",252,120,132
"Oberreut","2018",308,155,153
"Oberreut","2019",339,182,157
"Oberreut","2020",310,161,149
"Oberreut","2021",271,139,132
"Beiertheim-Bulach","2007",190,101,89
"Beiertheim-Bulach","2008",206,107,99
"Beiertheim-Bulach","2009",199,94,105
"Beiertheim-Bulach","2010",189,96,93
"Beiertheim-Bulach","2011",182,100,82
"Beiertheim-Bulach","2012",185,98,87
"Beiertheim-Bulach","2013",187,111,76
"Beiertheim-Bulach","2014",184,104,80
"Beiertheim-Bulach","2015",185,102,83
"Beiertheim-Bulach","2016",185,82,103
"Beiertheim-Bulach","2017",176,82,94
"Beiertheim-Bulach","2018",184,92,92
"Beiertheim-Bulach","2019",195,101,94
"Beiertheim-Bulach","2020",206,105,101
"Beiertheim-Bulach","2021",190,105,85
"Weiherfeld-Dammerstock","2007",164,99,65
"Weiherfeld-Dammerstock","2008",168,94,74
"Weiherfeld-Dammerstock","2009",164,80,84
"Weiherfeld-Dammerstock","2010",148,69,79
"Weiherfeld-Dammerstock","2011",131,59,72
"Weiherfeld-Dammerstock","2012",139,67,72
"Weiherfeld-Dammerstock","2013",145,68,77
"Weiherfeld-Dammerstock","2014",154,75,79
"Weiherfeld-Dammerstock","2015",162,80,82
"Weiherfeld-Dammerstock","2016",161,81,80
"Weiherfeld-Dammerstock","2017",175,89,86
"Weiherfeld-Dammerstock","2018",167,85,82
"Weiherfeld-Dammerstock","2019",160,90,70
"Weiherfeld-Dammerstock","2020",140,69,71
"Weiherfeld-Dammerstock","2021",145,72,73
"Rüppurr","2007",268,134,134
"Rüppurr","2008",264,125,139
"Rüppurr","2009",257,118,139
"Rüppurr","2010",234,113,121
"Rüppurr","2011",237,122,115
"Rüppurr","2012",252,144,108
"Rüppurr","2013",241,136,105
"Rüppurr","2014",247,136,111
"Rüppurr","2015",258,144,114
"Rüppurr","2016",253,135,118
"Rüppurr","2017",273,142,131
"Rüppurr","2018",279,142,137
"Rüppurr","2019",277,135,142
"Rüppurr","2020",269,145,124
"Rüppurr","2021",264,147,117
"Waldstadt","2007",290,153,137
"Waldstadt","2008",294,146,148
"Waldstadt","2009",297,161,136
"Waldstadt","2010",336,177,159
"Waldstadt","2011",349,180,169
"Waldstadt","2012",318,164,154
"Waldstadt","2013",332,180,152
"Waldstadt","2014",345,189,156
"Waldstadt","2015",349,182,167
"Waldstadt","2016",342,172,170
"Waldstadt","2017",317,159,158
"Waldstadt","2018",325,162,163
"Waldstadt","2019",295,152,143
"Waldstadt","2020",303,167,136
"Waldstadt","2021",302,171,131
"Rintheim","2007",161,78,83
"Rintheim","2008",156,76,80
"Rintheim","2009",147,77,70
"Rintheim","2010",143,78,65
"Rintheim","2011",125,67,58
"Rintheim","2012",120,64,56
"Rintheim","2013",131,75,56
"Rintheim","2014",146,81,65
"Rintheim","2015",156,86,70
"Rintheim","2016",151,80,71
"Rintheim","2017",179,90,89
"Rintheim","2018",183,94,89
"Rintheim","2019",179,90,89
"Rintheim","2020",165,73,92
"Rintheim","2021",148,69,79
"Hagsfeld","2007",206,108,98
"Hagsfeld","2008",166,81,85
"Hagsfeld","2009",172,90,82
"Hagsfeld","2010",166,85,81
"Hagsfeld","2011",180,99,81
"Hagsfeld","2012",181,93,88
"Hagsfeld","2013",176,87,89
"Hagsfeld","2014",171,91,80
"Hagsfeld","2015",190,115,75
"Hagsfeld","2016",203,112,91
"Hagsfeld","2017",203,109,94
"Hagsfeld","2018",210,111,99
"Hagsfeld","2019",201,104,97
"Hagsfeld","2020",182,83,99
"Hagsfeld","2021",182,88,94
"Durlach","2007",767,383,384
"Durlach","2008",757,378,379
"Durlach","2009",742,373,369
"Durlach","2010",709,358,351
"Durlach","2011",719,354,365
"Durlach","2012",719,374,345
"Durlach","2013",768,401,367
"Durlach","2014",773,396,377
"Durlach","2015",844,446,398
"Durlach","2016",819,422,397
"Durlach","2017",802,407,395
"Durlach","2018",815,394,421
"Durlach","2019",823,407,416
"Durlach","2020",824,414,410
"Durlach","2021",843,429,414
"Grötzingen","2007",198,100,98
"Grötzingen","2008",207,103,104
"Grötzingen","2009",223,114,109
"Grötzingen","2010",235,121,114
"Grötzingen","2011",228,116,112
"Grötzingen","2012",221,112,109
"Grötzingen","2013",196,105,91
"Grötzingen","2014",195,98,97
"Grötzingen","2015",217,108,109
"Grötzingen","2016",206,101,105
"Grötzingen","2017",205,98,107
"Grötzingen","2018",214,108,106
"Grötzingen","2019",225,116,109
"Grötzingen","2020",236,122,114
"Grötzingen","2021",241,121,120
"Stupferich","2007",68,37,31
"Stupferich","2008",55,32,23
"Stupferich","2009",45,28,17
"Stupferich","2010",53,27,26
"Stupferich","2011",57,25,32
"Stupferich","2012",66,26,40
"Stupferich","2013",67,27,40
"Stupferich","2014",75,40,35
"Stupferich","2015",76,43,33
"Stupferich","2016",81,47,34
"Stupferich","2017",72,38,34
"Stupferich","2018",90,45,45
"Stupferich","2019",103,54,49
"Stupferich","2020",105,57,48
"Stupferich","2021",79,48,31
"Hohenwettersbach","2007",102,51,51
"Hohenwettersbach","2008",102,51,51
"Hohenwettersbach","2009",90,52,38
"Hohenwettersbach","2010",86,50,36
"Hohenwettersbach","2011",80,37,43
"Hohenwettersbach","2012",73,35,38
"Hohenwettersbach","2013",76,43,33
"Hohenwettersbach","2014",78,49,29
"Hohenwettersbach","2015",87,50,37
"Hohenwettersbach","2016",83,42,41
"Hohenwettersbach","2017",78,37,41
"Hohenwettersbach","2018",75,35,40
"Hohenwettersbach","2019",69,36,33
"Hohenwettersbach","2020",69,32,37
"Hohenwettersbach","2021",66,33,33
"Wolfartsweier","2007",99,57,42
"Wolfartsweier","2008",81,46,35
"Wolfartsweier","2009",84,46,38
"Wolfartsweier","2010",73,35,38
"Wolfartsweier","2011",81,41,40
"Wolfartsweier","2012",72,36,36
"Wolfartsweier","2013",77,45,32
"Wolfartsweier","2014",71,43,28
"Wolfartsweier","2015",68,47,21
"Wolfartsweier","2016",73,42,31
"Wolfartsweier","2017",75,38,37
"Wolfartsweier","2018",84,40,44
"Wolfartsweier","2019",75,35,40
"Wolfartsweier","2020",71,34,37
"Wolfartsweier","2021",72,37,35
"Grünwettersbach","2007",82,45,37
"Grünwettersbach","2008",85,47,38
"Grünwettersbach","2009",93,50,43
"Grünwettersbach","2010",113,61,52
"Grünwettersbach","2011",96,53,43
"Grünwettersbach","2012",105,56,49
"Grünwettersbach","2013",95,45,50
"Grünwettersbach","2014",104,53,51
"Grünwettersbach","2015",91,46,45
"Grünwettersbach","2016",114,61,53
"Grünwettersbach","2017",102,49,53
"Grünwettersbach","2018",104,52,52
"Grünwettersbach","2019",112,58,54
"Grünwettersbach","2020",105,60,45
"Grünwettersbach","2021",109,62,47
"Palmbach","2007",42,17,25
"Palmbach","2008",42,18,24
"Palmbach","2009",36,18,18
"Palmbach","2010",36,14,22
"Palmbach","2011",57,25,32
"Palmbach","2012",62,28,34
"Palmbach","2013",64,30,34
"Palmbach","2014",74,37,37
"Palmbach","2015",68,39,29
"Palmbach","2016",65,32,33
"Palmbach","2017",64,28,36
"Palmbach","2018",65,29,36
"Palmbach","2019",60,27,33
"Palmbach","2020",52,26,26
"Palmbach","2021",59,31,28
"Neureut","2007",403,198,205
"Neureut","2008",401,197,204
"Neureut","2009",388,197,191
"Neureut","2010",449,214,235
"Neureut","2011",445,227,218
"Neureut","2012",476,235,241
"Neureut","2013",484,239,245
"Neureut","2014",493,262,231
"Neureut","2015",507,281,226
"Neureut","2016",514,280,234
"Neureut","2017",485,249,236
"Neureut","2018",524,262,262
"Neureut","2019",481,246,235
"Neureut","2020",470,255,215
"Neureut","2021",464,248,216
"Nordstadt","2007",315,166,149
"Nordstadt","2008",308,164,144
"Nordstadt","2009",301,153,148
"Nordstadt","2010",288,143,145
"Nordstadt","2011",269,138,131
"Nordstadt","2012",264,136,128
"Nordstadt","2013",249,131,118
"Nordstadt","2014",246,133,113
"Nordstadt","2015",216,114,102
"Nordstadt","2016",219,116,103
"Nordstadt","2017",211,106,105
"Nordstadt","2018",205,115,90
"Nordstadt","2019",206,116,90
"Nordstadt","2020",211,123,88
"Nordstadt","2021",197,101,96
