"Stadtteil","Jahr","Personen","männlich","weiblich"
"Grünwettersbach","2011",370,180,190
"Grünwettersbach","2012",370,176,194
"Grünwettersbach","2013",342,169,173
"Grünwettersbach","2014",339,172,167
"Grünwettersbach","2015",334,164,170
"Grünwettersbach","2016",337,172,165
"Grünwettersbach","2017",330,169,161
"Grünwettersbach","2018",344,186,158
"Grünwettersbach","2019",324,171,153
"Grünwettersbach","2020",338,180,158
"Grünwettersbach","2021",339,177,162
"Palmbach","2007",189,105,84
"Palmbach","2008",171,99,72
"Palmbach","2009",169,97,72
"Palmbach","2010",172,98,74
"Palmbach","2011",169,95,74
"Palmbach","2012",162,84,78
"Palmbach","2013",170,94,76
"Palmbach","2014",167,89,78
"Palmbach","2015",175,91,84
"Palmbach","2016",184,94,90
"Palmbach","2017",201,102,99
"Palmbach","2018",220,109,111
"Palmbach","2019",223,114,109
"Palmbach","2020",233,121,112
"Palmbach","2021",229,116,113
"Neureut","2007",1292,662,630
"Neureut","2008",1286,660,626
"Neureut","2009",1314,688,626
"Neureut","2010",1341,696,645
"Neureut","2011",1362,700,662
"Neureut","2012",1397,729,668
"Neureut","2013",1415,721,694
"Neureut","2014",1456,739,717
"Neureut","2015",1466,746,720
"Neureut","2016",1506,763,743
"Neureut","2017",1523,770,753
"Neureut","2018",1537,770,767
"Neureut","2019",1558,786,772
"Neureut","2020",1544,801,743
"Neureut","2021",1536,800,736
"Nordstadt","2007",1289,687,602
"Nordstadt","2008",1309,696,613
"Nordstadt","2009",1276,680,596
"Nordstadt","2010",1255,661,594
"Nordstadt","2011",1245,656,589
"Nordstadt","2012",1225,640,585
"Nordstadt","2013",1213,629,584
"Nordstadt","2014",1213,631,582
"Nordstadt","2015",1161,618,543
"Nordstadt","2016",1126,596,530
"Nordstadt","2017",1077,567,510
"Nordstadt","2018",1003,519,484
"Nordstadt","2019",941,491,450
"Nordstadt","2020",875,450,425
"Nordstadt","2021",826,423,403
